time rula_score rula_base_score rula_confidence neck_score neck_base_score neck_confidence neck_angle trunk_score trunk_base_score trunk_confidence trunk_angle legs_score legs_base_score legs_confidence legs_angle upper_arm_left_score upper_arm_left_base_score upper_arm_left_confidence upper_arm_left_angle upper_arm_right_score upper_arm_right_base_score upper_arm_right_confidence upper_arm_right_angle lower_arm_left_score lower_arm_left_base_score lower_arm_left_confidence lower_arm_left_angle lower_arm_right_score lower_arm_right_base_score lower_arm_right_confidence lower_arm_right_angle wrist_left_score wrist_left_base_score wrist_left_confidence wrist_left_angle wrist_right_score wrist_right_base_score wrist_right_confidence wrist_right_angle
1651579108.44764376 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 4.00000000 0.43750000 1.00000000 0.43750000 36.00000000 2.00000000 2.00000000 1.00000000 24.00000000 1.00000000 1.00000000 1.00000000 19.00000000 1.00000000 1.00000000 1.00000000 64.00000000 1.00000000 1.00000000 1.00000000 75.00000000 2.00000000 2.00000000 1.00000000 46.00000000 2.00000000 2.00000000 1.00000000 61.00000000
1651579108.51418996 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 5.00000000 0.43750000 1.00000000 0.43750000 36.00000000 2.00000000 2.00000000 1.00000000 23.00000000 1.00000000 1.00000000 1.00000000 18.00000000 1.00000000 1.00000000 1.00000000 66.00000000 1.00000000 1.00000000 1.00000000 76.00000000 2.00000000 2.00000000 1.00000000 44.00000000 2.00000000 2.00000000 1.00000000 62.00000000
1651579108.58081532 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 10.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.43750000 1.00000000 0.43750000 34.00000000 2.00000000 2.00000000 1.00000000 22.00000000 1.00000000 1.00000000 1.00000000 17.00000000 1.00000000 1.00000000 1.00000000 69.00000000 1.00000000 1.00000000 1.00000000 78.00000000 2.00000000 2.00000000 1.00000000 41.00000000 2.00000000 2.00000000 1.00000000 63.00000000
1651579108.64734554 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.43750000 1.00000000 0.43750000 34.00000000 2.00000000 2.00000000 1.00000000 23.00000000 1.00000000 1.00000000 1.00000000 17.00000000 1.00000000 1.00000000 1.00000000 71.00000000 1.00000000 1.00000000 1.00000000 79.00000000 2.00000000 2.00000000 1.00000000 41.00000000 2.00000000 2.00000000 1.00000000 63.00000000
1651579108.71398997 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.43750000 1.00000000 0.43750000 34.00000000 2.00000000 2.00000000 1.00000000 24.00000000 1.00000000 1.00000000 1.00000000 17.00000000 1.00000000 1.00000000 1.00000000 73.00000000 1.00000000 1.00000000 1.00000000 80.00000000 2.00000000 2.00000000 1.00000000 41.00000000 2.00000000 2.00000000 1.00000000 64.00000000
1651579108.78073215 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 11.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.43750000 1.00000000 0.43750000 33.00000000 2.00000000 2.00000000 1.00000000 24.00000000 1.00000000 1.00000000 1.00000000 17.00000000 1.00000000 1.00000000 1.00000000 71.00000000 1.00000000 1.00000000 1.00000000 79.00000000 2.00000000 2.00000000 1.00000000 41.00000000 2.00000000 2.00000000 1.00000000 63.00000000
1651579108.84732676 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 12.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.43750000 1.00000000 0.43750000 32.00000000 2.00000000 2.00000000 1.00000000 24.00000000 1.00000000 1.00000000 1.00000000 17.00000000 1.00000000 1.00000000 1.00000000 71.00000000 1.00000000 1.00000000 1.00000000 78.00000000 2.00000000 2.00000000 1.00000000 41.00000000 2.00000000 2.00000000 1.00000000 63.00000000
1651579108.91430044 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 12.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.43750000 1.00000000 0.43750000 32.00000000 2.00000000 2.00000000 1.00000000 25.00000000 1.00000000 1.00000000 1.00000000 17.00000000 1.00000000 1.00000000 1.00000000 70.00000000 1.00000000 1.00000000 1.00000000 78.00000000 2.00000000 2.00000000 1.00000000 42.00000000 2.00000000 2.00000000 1.00000000 63.00000000
1651579108.98085952 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.43750000 1.00000000 0.43750000 33.00000000 2.00000000 2.00000000 1.00000000 25.00000000 1.00000000 1.00000000 1.00000000 18.00000000 1.00000000 1.00000000 1.00000000 70.00000000 1.00000000 1.00000000 1.00000000 78.00000000 2.00000000 2.00000000 1.00000000 42.00000000 2.00000000 2.00000000 1.00000000 64.00000000
1651579109.04742908 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.43750000 1.00000000 0.43750000 33.00000000 2.00000000 2.00000000 1.00000000 24.00000000 1.00000000 1.00000000 1.00000000 17.00000000 1.00000000 1.00000000 1.00000000 68.00000000 1.00000000 1.00000000 1.00000000 77.00000000 2.00000000 2.00000000 1.00000000 44.00000000 2.00000000 2.00000000 1.00000000 64.00000000
1651579109.11426973 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.43750000 1.00000000 0.43750000 34.00000000 2.00000000 2.00000000 1.00000000 24.00000000 1.00000000 1.00000000 1.00000000 17.00000000 1.00000000 1.00000000 1.00000000 67.00000000 1.00000000 1.00000000 1.00000000 77.00000000 2.00000000 2.00000000 1.00000000 46.00000000 2.00000000 2.00000000 1.00000000 64.00000000
1651579109.18084645 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 12.00000000 2.00000000 2.00000000 1.00000000 8.00000000 0.43750000 1.00000000 0.43750000 35.00000000 2.00000000 2.00000000 1.00000000 22.00000000 1.00000000 1.00000000 1.00000000 17.00000000 1.00000000 1.00000000 1.00000000 66.00000000 1.00000000 1.00000000 1.00000000 77.00000000 2.00000000 2.00000000 1.00000000 48.00000000 2.00000000 2.00000000 1.00000000 64.00000000
1651579109.24761581 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 12.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.43750000 1.00000000 0.43750000 35.00000000 2.00000000 2.00000000 1.00000000 23.00000000 1.00000000 1.00000000 1.00000000 17.00000000 1.00000000 1.00000000 1.00000000 66.00000000 1.00000000 1.00000000 1.00000000 78.00000000 2.00000000 2.00000000 1.00000000 50.00000000 2.00000000 2.00000000 1.00000000 64.00000000
1651579109.31420350 3.00000000 3.00000000 0.90625000 2.00000000 2.00000000 1.00000000 11.00000000 2.00000000 2.00000000 1.00000000 4.00000000 0.43750000 1.00000000 0.43750000 35.00000000 2.00000000 2.00000000 1.00000000 26.00000000 1.00000000 1.00000000 1.00000000 18.00000000 1.00000000 1.00000000 1.00000000 69.00000000 1.00000000 1.00000000 1.00000000 80.00000000 2.00000000 2.00000000 1.00000000 51.00000000 2.00000000 2.00000000 1.00000000 65.00000000
